title,original_lang,popularity,vote_count,vote_average
Cars 3,en,30.611,3075,6.7
Taxi Driver,en,30.588,6459,8.2
Re: Zero kara Hajimeru Isekai Seikatsu - Memory Snow,ja,30.57,43,6.4
Steven Universe: The Movie,en,30.542,142,8.8
Ex Machina,en,30.541,8963,7.6
Ponyo,ja,30.541,2070,7.7
How to Train Your Dragon 2,en,30.47,6407,7.7
Return of the Jedi,en,30.459,9262,8
The Captive,en,30.432,686,5.9
Gattaca,en,30.421,3787,7.5
Saving Private Ryan,en,30.404,9731,8.1
Sorry We Missed You,en,30.332,172,7.6
Once Upon a Time in America,en,30.32,2755,8.4
Cold Blood,fr,30.278,113,5.1
Pirates of the Caribbean: Dead Men Tell No Tales,en,30.153,7849,6.6
21 Bridges,en,30.098,458,6.5
First Man,en,30.033,3184,7.1
The Invasion,en,29.986,807,5.9
Star Wars: Episode II - Attack of the Clones,en,29.943,8415,6.5
Dolemite Is My Name,en,29.739,497,7.2
Ocean's Twelve,en,29.709,4581,6.5
The Jungle Book,en,29.554,5885,6.8
Brahms: The Boy II,en,29.434,134,6.2
Split,en,29.43,11928,7.3
Cats,en,29.382,286,4.3
Guardians of the Galaxy,en,29.371,20073,7.9
Dora and the Lost City of Gold,en,29.359,620,6.5
Dilwale Dulhania Le Jayenge,hi,29.336,2224,8.8
Psycho,en,29.247,5946,8.4
The Lion King,en,29.181,11913,8.3
Casino Royale,en,29.162,6842,7.4
Hotel Belgrad,ru,29.142,5,8.7
A Bug's Life,en,29.049,5775,6.9
Cloudy with a Chance of Meatballs 2,en,29.042,1955,6.4
The Curious Case of Benjamin Button,en,29.029,7864,7.5
Bad Times at the El Royale,en,29.016,2051,6.8
Altered Carbon: Resleeved,ja,29.014,68,6.1
Baby Driver,en,28.923,9573,7.4
The Smurfs 2,en,28.92,1381,5.7
Maze Runner: The Death Cure,en,28.839,4602,7
2001: A Space Odyssey,en,28.811,6903,8.1
The Purge: Anarchy,en,28.781,4270,6.6
Dark Waters,en,28.725,363,7.4
Bombshell,en,28.704,628,6.8
Iron Man 3,en,28.669,15739,6.9
Pretty Woman,en,28.662,4463,7.3
Spectre,en,28.635,7365,6.5
The Great Gatsby,en,28.633,8196,7.4
Alien,en,28.563,8724,8.1
Star Trek,en,28.465,6980,7.4
Peter Pan,en,28.449,3489,7.2
Wonder,en,28.421,4811,8.2
A Cinderella Story: If the Shoe Fits,en,28.414,445,6.8
Fighting with My Family,en,28.37,761,6.7
Ratatouille,en,28.354,10432,7.7
The Hangover,en,28.348,11662,7.3
Lion,en,28.336,4474,8.1
Descendants 3,en,28.289,570,7.8
Replicas,en,28.27,640,5.9
Tomorrow Never Dies,en,28.242,1787,6.3
Den of Thieves,en,28.23,1552,6.6
How to Train Your Dragon,en,28.205,8711,7.7
Sinister Seduction,en,28.185,1,6
A Star Is Born,en,28.174,7591,7.5
Dawn of the Planet of the Apes,en,28.17,7812,7.3
The Hunt,da,28.086,1893,8.1
Spider-Man 3,en,28.05,8273,6.2
Haunt,en,28.047,200,6.3
Midnight in Paris,en,28.039,4642,7.5
The Little Mermaid,en,28.036,4888,7.3
Mr. & Mrs. Smith,en,28.029,6580,6.6
Sniper: Ultimate Kill,en,28.028,83,6.2
Freddy's Dead: The Final Nightmare,en,28.017,652,5.2
Eyes Wide Shut,en,28.017,3255,7.4
Zombieland,en,27.993,7959,7.2
Kong: Skull Island,en,27.971,6893,6.4
Glass,en,27.957,4762,6.6
Chappie,en,27.954,5498,6.7
Skyfall,en,27.934,11373,7.1
Fantastic Beasts: The Crimes of Grindelwald,en,27.929,6351,6.9
Train to Busan,ko,27.924,3298,7.7
Ip Man 4: The Finale,cn,27.914,395,6
Tales from the Darkside: The Movie,en,27.905,172,6.1
The Informer,en,27.902,134,6.4
Five Feet Apart,en,27.896,2016,8.1
A Nightmare on Elm Street Part 2: Freddy's Revenge,en,27.82,923,5.8
Beauty and the Beast,en,27.769,12084,6.9
The Predator,en,27.768,2551,5.3
"Three Billboards Outside Ebbing, Missouri",en,27.738,6408,8.1
Jaws,en,27.728,5937,7.6
Superman,en,27.689,2168,7.1
Master and Commander: The Far Side of the World,en,27.679,1733,7.1
The World Is Not Enough,en,27.671,1660,6.2
Jupiter Ascending,en,27.669,4864,5.3
The Big Lebowski,en,27.668,6710,7.9
And What Is He Like?,es,27.657,0,0
Playing with Love,it,27.653,35,5.3
Reservoir Dogs,en,27.609,8756,8.2
Life Is Beautiful,it,27.603,8419,8.5
El inconveniente,es,27.593,0,0
Dracula,en,27.572,2734,7.4
Ghostbusters,en,27.566,5387,7.4
Me Before You,en,27.538,6887,7.7
Star Trek Into Darkness,en,27.518,6731,7.3
No Time to Die,en,27.478,0,0
American Sniper,en,27.474,8684,7.4
Die Hard,en,27.469,7001,7.7
Bruce Almighty,en,27.465,7216,6.7
Toy Story 2,en,27.46,8938,7.5
Pet Sematary,en,27.414,1820,5.8
Ustica: The Missing Paper,it,27.413,26,5.6
Don't Look Now: We're Being Shot At,fr,27.328,744,7.9
All the Bright Places,en,27.326,705,7.5
Pearl Harbor,en,27.292,3952,6.8
Jumanji: Welcome to the Jungle,en,27.265,8870,6.7
Monsters University,en,27.25,7150,7
Taken 3,en,27.216,3847,6.2
Minuscule 2: Mandibles From Far Away,fr,27.209,52,6.6
The Good Liar,en,27.149,258,6.6
The Room,en,27.144,89,6
Curiosa,fr,27.118,42,6.1
Thor: The Dark World,en,27.077,11515,6.6
Sea Fever,en,27.061,0,0
Beetlejuice,en,27.053,3662,7.3
Alvin and the Chipmunks: Chipwrecked,en,26.947,1283,5.6
The Boy,en,26.944,2534,5.8
Alice in Wonderland,en,26.922,9877,6.6
Black Christmas,en,26.903,146,4.4
Cast Away,en,26.883,7045,7.6
Alice in Wonderland,en,26.874,3835,7.1
Close Encounters of the Third Kind,en,26.874,2411,7.4
The Revenant,en,26.847,12590,7.5
The Hobbit: The Desolation of Smaug,en,26.844,8642,7.6
La La Land,en,26.835,11497,7.9
Mulan,en,26.821,5665,7.9
The Autopsy of Jane Doe,en,26.807,2229,6.5
Kingsman: The Golden Circle,en,26.806,6363,6.9
Sherlock Holmes,en,26.8,10028,7.2
Hellboy,en,26.792,1689,5.3
Jan Dara,th,26.759,12,7.7
Fifty Shades of Grey,en,26.739,7282,5.5
Night at the Museum: Secret of the Tomb,en,26.642,4036,6.2
Skyscraper,en,26.516,2801,6.2
The Incredible Hulk,en,26.512,7263,6.2
Collateral Beauty,en,26.499,3788,7.2
Portrait of a Lady on Fire,fr,26.479,451,8.3
The Princess Diaries 2: Royal Engagement,en,26.477,2075,6.5
The Patriot,en,26.477,2283,7.1
It's a Wonderful Life,en,26.429,2330,8.2
Exodus: Gods and Kings,en,26.41,3209,5.8
Her,en,26.407,9286,7.9
Paul Blart: Mall Cop 2,en,26.371,1021,5
10 Cloverfield Lane,en,26.342,5181,6.9
X-Men: Apocalypse,en,26.338,9219,6.5
Scarface,en,26.31,6445,8.1
Anna,fr,26.276,967,6.6
6 Underground,en,26.271,1790,6.2
Airplane!,en,26.239,2440,7.3
How to Be Single,en,26.199,2323,6.1
Terminator 3: Rise of the Machines,en,26.171,4136,6
Suburbicon,en,26.149,1046,5.8
Star Trek Beyond,en,26.107,4685,6.7
Superman II,en,26.092,1314,6.6
Minority Report,en,26.085,5290,7.3
The Pianist,en,26.02,4938,8.3
Monty Python and the Holy Grail,en,26.016,3516,7.8
Twelve Monkeys,en,26.01,4974,7.6
Mission: Impossible - Ghost Protocol,en,25.997,6746,7
Fifty Shades Freed,en,25.963,4160,6.2
Princess Mononoke,ja,25.949,4460,8.4
Star Trek V: The Final Frontier,en,25.934,658,5.7
Gangs of New York,en,25.915,4098,7.3
No Country for Old Men,en,25.89,6924,7.9
The Incredibles,en,25.873,11985,7.7
Castle in the Sky,ja,25.856,2128,8
The Transporter,en,25.854,3261,6.6
Taken,en,25.843,7571,7.3
Safe House,en,25.842,2245,6.4
Angels & Demons,en,25.841,4468,6.6
Frankenstein,en,25.836,742,7.5
Determined,en,25.796,0,0
Jurassic Park,en,25.777,10327,7.9
Chunky Shrapnel,en,25.759,0,0
Survivor,en,25.733,642,5.5
Hacksaw Ridge,en,25.715,7701,8.1
The Scheme,en,25.696,0,0
An Officer and a Spy,fr,25.696,445,7.2
Furious 7,en,25.696,7245,7.3
Pitch Perfect 2,en,25.683,3991,6.9
Kingdom of Heaven,en,25.665,2422,6.7
Annabelle: Creation,en,25.662,3664,6.5
Black Swan,en,25.655,9512,7.6
The Interview,en,25.654,3972,6.2
A Walk Among the Tombstones,en,25.644,1871,6.3
Lady and the Tramp,en,25.637,3328,7.1
Quantum of Solace,en,25.626,5045,6.3
The Godfather: Part II,en,25.613,6887,8.5
Rocky,en,25.596,4439,7.7
American History X,en,25.596,7041,8.4
Pride & Prejudice,en,25.588,3988,7.9
Game Night,en,25.579,3401,6.9
Madagascar: Escape 2 Africa,en,25.546,4400,6.4
GoldenEye,en,25.499,2258,6.8
The Fate of the Furious,en,25.482,7025,6.9
A Haunted House 2,en,25.48,718,5.7
Rules of Engagement,en,25.472,352,6.1
The Adventures of Tintin,en,25.424,3645,6.8
Lady Bird,en,25.382,4810,7.3
Serigala Langit,id,25.374,0,0
First Blood,en,25.317,3382,7.4
Nymphomaniac: Vol. II,en,25.31,1783,6.8
Acts of Vengeance,en,25.297,256,5.8
Spotlight,en,25.294,5582,7.8
Chicken Run,en,25.28,2988,6.6
Bumblebee,en,25.256,3451,6.6
Queen & Slim,en,25.228,153,7.2
Grease,en,25.215,4522,7.4
Hercules,en,25.204,4504,7.5
Memento,en,25.203,9054,8.2
Kill Bill: Vol. 2,en,25.198,8908,7.9
Crocodile Dundee,en,25.178,1075,6.3
Cinderella,en,25.176,4292,7
Red Sparrow,en,25.168,3993,6.5
Hercules,en,25.166,2882,5.7
Annabelle Comes Home,en,25.164,1326,6.1
Tremors,en,25.161,1799,6.7
My Spy,en,25.16,21,7
Dumbo,en,25.137,2529,6.6
The Angry Birds Movie 2,en,25.104,537,6.8
Transformers: Age of Extinction,en,25.078,5339,5.8
Rambo: First Blood Part II,en,25.076,1992,6.5
47 Meters Down: Uncaged,en,25.057,505,5
Ghostbusters,en,25.041,4258,5.4
Hotel Transylvania 3: Summer Vacation,en,25.026,2099,6.8
Self/less,en,25.018,2043,6.3
